k,t,Qnum,Qlevel,Qlength,approach,time,size
20,2,0,0,2,acts,0.0386,30.8
20,2,8,1,2,acts,1.9054,28
20,2,17,2,2,acts,9.4514,28.6
20,2,26,3,2,acts,8.191,29.6
20,2,35,4,2,acts,10.2018,30.2
20,2,44,5,2,acts,8.353,31
20,2,53,6,2,acts,11.8898,32.8
20,2,62,7,2,acts,3.9392,35.4
20,2,71,8,2,acts,9.3698,35.6
20,2,80,9,2,acts,7.4456,37.6
80,2,0,0,2,acts,0.1038,44
80,2,17,1,2,acts,1.6732,44
80,2,35,2,2,acts,2.7012,43.4
80,2,53,3,2,acts,20.826,42.6
80,2,71,4,2,acts,10.9426,43.4
80,2,89,5,2,acts,18.684,44
80,2,107,6,2,acts,49.8216,44.2
80,2,125,7,2,acts,45.2276,44.8
80,2,143,8,2,acts,43.3112,45.6
80,2,160,9,2,acts,66.5952,48
140,2,0,0,2,acts,0.1688,49.6
140,2,23,1,2,acts,1.7906,48.8
140,2,47,2,2,acts,2.7066,48.2
140,2,70,3,2,acts,4.9198,48.6
140,2,94,4,2,acts,15.0608,48.8
140,2,118,5,2,acts,40.0366,48.2
140,2,141,6,2,acts,71.835,48.4
140,2,165,7,2,acts,98.2476,48.8
140,2,189,8,2,acts,142.7348,50
140,2,212,9,2,acts,202.3482,51.2
200,2,0,0,2,acts,2.5166,52.4
200,2,28,1,2,acts,6.0554,52.4
200,2,56,2,2,acts,11.42,52.6
200,2,84,3,2,acts,13.4122,51
200,2,113,4,2,acts,15.7278,51.2
200,2,141,5,2,acts,74.4664,51.6
200,2,169,6,2,acts,143.7194,51.2
200,2,197,7,2,acts,207.9088,51.8
200,2,226,8,2,acts,270.553,52
200,2,254,9,2,acts,382.29,53
20,3,0,0,2,acts,0.0868,141.6
20,3,8,1,2,acts,1.6304,140.2
20,3,17,2,2,acts,4.411,143.6
20,3,26,3,2,acts,7.7828,150.6
20,3,35,4,2,acts,14.7658,161.2
